iter	Passed	Remaining
406	5262	7666
407	5274	7653
408	5287	7639
409	5300	7626
410	5312	7613
411	5323	7597
412	5335	7583
413	5350	7574
414	5365	7563
415	5378	7550
416	5390	7536
417	5402	7522
418	5415	7509
419	5425	7492
420	5436	7477
421	5449	7463
422	5459	7447
423	5470	7431
424	5482	7417
425	5492	7401
426	5503	7385
427	5515	7370
428	5526	7356
429	5536	7339
430	5548	7324
431	5560	7310
432	5570	7294
433	5583	7281
434	5596	7268
435	5609	7255
436	5623	7244
437	5636	7232
438	5653	7224
439	5668	7213
440	5682	7202
441	5699	7194
442	5712	7183
443	5727	7172
444	5741	7160
445	5754	7147
446	5770	7138
447	5788	7132
448	5801	7119
449	5813	7105
450	5825	7091
451	5837	7077
452	5848	7061
453	5860	7047
454	5872	7034
455	5882	7018
456	5894	7003
457	5906	6990
458	5918	6975
459	5928	6960
460	5942	6948
461	5954	6933
462	5964	6917
463	5975	6902
464	5986	6888
465	5999	6874
466	6011	6861
467	6022	6846
468	6033	6831
469	6044	6815
470	6055	6801
471	6066	6786
472	6077	6771
473	6089	6757
474	6102	6745
475	6113	6730
476	6124	6714
477	6136	6700
478	6147	6686
479	6157	6670
480	6169	6656
481	6181	6643
482	6192	6627
483	6203	6613
484	6214	6598
485	6225	6584
486	6236	6569
487	6247	6554
488	6257	6539
489	6268	6524
490	6279	6509
491	6292	6497
492	6303	6482
493	6315	6469
494	6326	6454
495	6339	6441
496	6353	6430
497	6366	6417
498	6377	6402
499	6388	6388
500	6400	6375
501	6415	6363
502	6429	6352
503	6443	6341
504	6456	6328
505	6469	6315
506	6486	6307
507	6501	6297
508	6523	6292
509	6535	6279
510	6548	6266
511	6561	6254
512	6574	6241
513	6588	6229
514	6601	6217
515	6615	6205
516	6629	6193
517	6697	6232
518	6734	6241
519	6774	6253
520	6798	6250
521	6816	6241
522	6836	6235
523	6850	6223
524	6862	6209
525	6875	6195
526	6888	6182
527	6901	6169
528	6914	6156
529	6929	6144
530	6943	6133
531	6958	6121
532	6972	6108
533	6985	6095
534	6995	6080
535	7007	6066
536	7018	6051
537	7029	6036
538	7040	6021
539	7052	6007
540	7062	5992
541	7073	5977
542	7085	5963
543	7095	5948
544	7106	5933
545	7119	5919
546	7130	5905
547	7142	5891
548	7174	5893
549	7187	5880
550	7202	5869
551	7215	5856
552	7225	5840
553	7237	5826
554	7249	5812
555	7261	5798
556	7273	5784
557	7287	5772
558	7299	5758
559	7312	5745
560	7323	5730
561	7338	5719
562	7354	5708
563	7368	5696
564	7380	5682
565	7394	5669
566	7406	5656
567	7420	5643
568	7434	5631
569	7448	5619
570	7462	5606
571	7474	5592
572	7485	5578
573	7498	5564
574	7509	5550
575	7519	5535
576	7532	5521
577	7546	5509
578	7562	5498
579	7578	5488
580	7593	5476
581	7609	5464
582	7625	5454
583	7642	5443
584	7656	5431
585	7671	5419
586	7682	5405
587	7693	5390
588	7706	5377
589	7718	5364
590	7730	5349
591	7741	5335
592	7752	5320
593	7763	5306
594	7774	5292
595	7787	5278
596	7798	5264
